Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
Datalogicrecruitment,NY,Company Website,Full-time,Masters,4,"SQL, Cloud, data warehouse",12480.0,Data Engineer
Kane Partners LLC,PA,Company Website,Full-time,Any Degree,5.0,"Python, Azure, ETL",166000.0,Data Engineer
Chase Bank,NY,Company Website,Full-time,Bachelors,5.0,"SQL, Analytics, Data Visualization, Visualization",100000.0,Data Analyst
Aitek Group,OH,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Spark, AWS, Java",166000.0,Data Engineer
Exaways Corporation,,Company Website,Full-time,Any Degree,8,"Python, AWS",166000.0,Data Engineer
E.ON,USA,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Ford Motor Company,MA,Company Website,Full-time,Bachelors,5,GCP,10504.0,Data Engineer
"Motion Recruitment Partners, LLC",IL,Company Website,Full-time,Any Degree,5.0,Python,166000.0,Data Engineer
Avanade,AZ,LinkedIn,Part-time,Any Degree,5.0,"Python, Azure",166400.0,Data Engineer
VirtualVocations,TX,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
BlackRock,GA,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Accenture,NY,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
H1B Sponsorship Jobs,NJ,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Miracle Software Systems,MI,Indeed,Full-time,Bachelors,14,"Python, SQL, Big Data, Spark, GCP, Java, Cloud, ETL",166000.0,Data Engineer
UBS,NJ,Company Website,Full-time,Bachelors,10,"Big Data, Spark, Azure, Cloud, Analytics, ETL",166000.0,Data Engineer
Goodwin Procter LLP,GA,Company Website,Full-time,Any Degree,5.0,SQL,166000.0,Data Engineer
"InfoVision, Inc.",MA,Company Website,Part-time,Any Degree,5.0,"Python, SQL, Snowflake, Big Data, Spark, Azure",166000.0,Data Engineer
Capital One,PA,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Republic Services,CO,Company Website,Full-time,Any Degree,7,"Python, Tableau, AWS, Analytics, ETL, Business Intelligence",166000.0,Data Engineer
Ford Motor,MI,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
"083 PGIM Portfolio Advisory, LLC",USA,Company Website,Full-time,Masters,10,"Big Data, Spark, AWS, Java, Cloud, data warehouse",155000.0,Data Engineer
Publicis Groupe,CO,Company Website,Full-time,Masters,5,"Python, Hive, SQL, Big Data, Spark, AWS",125000.0,Data Engineer
SynergisticIT,CA,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",166000.0,Data Engineer
"Sarian, Inc.",NJ,ZipRecruiter,Part-time,Any Degree,5.0,"Python, Big Data, Spark, Java",166000.0,Data Engineer
NTT DATA,TX,Company Website,Full-time,Any Degree,8,"Python, SQL, ETL",166000.0,Data Engineer
Truist Financial,NC,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Avanade,CA,Company Website,Full-time,Any Degree,5.0,"Python, Azure",166400.0,Data Engineer
Dice,CA,Company Website,Full-time,Masters,8,"Python, AWS",166000.0,Data Engineer
Adobe,CA,Company Website,Full-time,Bachelors,2,"Python, Hive, SQL, MySQL, Big Data, Spark, AWS, Azure, Cloud",166000.0,Data Engineer
Stripe,NY,LinkedIn,Full-time,Any Degree,7,SQL,225700.0,Data Analyst
Charles Schwab,TX,Company Website,Full-time,Masters,5,"Python, SQL, Cloud, ETL",166000.0,Data Engineer
Tekfortune Inc.,NJ,ZipRecruiter,Full-time,Any Degree,5.0,,166000.0,Data Engineer
CTG,NC,Company Website,Full-time,Any Degree,4,Python,166000.0,Data Engineer
Steneral Consulting,USA,Indeed,Internship,Any Degree,3,"SQL, GCP, Cloud",166000.0,Data Engineer
Tata Consultancy Services,TX,Company Website,Full-time,Any Degree,5,"Python, SQL, Snowflake, Big Data, Spark",166000.0,Data Engineer
Webologix Global,VA,LinkedIn,Part-time,Any Degree,5,"Python, SQL, Azure, Analytics, ETL, data warehouse",166000.0,Data Engineer
CoServe Global Solutions,WV,ZipRecruiter,Part-time,Any Degree,5.0,,166000.0,Data Engineer
General Motors,PA,Company Website,Full-time,Any Degree,7,"Python, SQL, Big Data, Spark, Azure, Cloud, Analytics, ETL",20800.0,Data Engineer
VirtualVocations,TX,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Nssfed,MN,Company Website,Full-time,Any Degree,2,,166000.0,Data Engineer
Capital One,AL,Company Website,Part-time,Bachelors,4,Big Data,166000.0,Data Engineer
Google,WA,LinkedIn,Full-time,Bachelors,3,,207000.0,Data Engineer
Upwork,USA,Company Website,Part-time,Any Degree,5.0,"Python, SQL, Big Data, GCP, ETL",166000.0,Data Engineer
Edison International,CA,Company Website,Full-time,Any Degree,5.0,Analytics,166000.0,Data Engineer
Meta,NH,Company Website,Full-time,Bachelors,10,"SQL, Analytics, ETL, data warehouse",281000.0,Data Engineer
Luminant,NV,Company Website,Full-time,Any Degree,11,"SQL, Big Data, AWS, Azure, Cloud, ETL",166000.0,Data Engineer
"InfoVision, Inc.",TX,Company Website,Part-time,Any Degree,10,"SQL, Java, Cloud, Data Analytics, Analytics",166000.0,Data Engineer
SynergisticIT,MS,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Engineer
Qualitest Group,IL,ZipRecruiter,Full-time,Any Degree,5.0,"SQL, Snowflake",120000.0,Data Engineer
MetLife,NC,Company Website,Full-time,Any Degree,8,"Python, Hive",166000.0,Data Engineer
Lyteworx Automation Systems,VA,Company Website,Full-time,Any Degree,7,"SQL, Spark, Cloud, Data Analytics, Analytics, ETL",391040.0,Data Engineer
OneSource Regulatory,CO,Company Website,Part-time,Any Degree,5.0,"Python, SQL, MySQL, Cloud",166000.0,Data Engineer
Trane Technologies plc,NC,Company Website,Full-time,Any Degree,5.0,,166000.0,Data Engineer
Walmart,CA,Company Website,Internship,PHD,2,"Python, Spark, Analytics",234000.0,Data Engineer
"Cyclotron, Inc.",IL,ZipRecruiter,Full-time,Any Degree,8,"Python, SQL, Big Data, Azure, Java, Cloud, Analytics, data warehouse, Data Visualization, Visualization",166000.0,Data Engineer
MassMutual,MA,Company Website,Full-time,Bachelors,5,"Python, SQL, Tableau, Redshift, Spark, Java, Cloud, Data Analytics, Analytics, ETL, Business Intelligence",166000.0,Data Engineer
Meta,DE,Company Website,Full-time,Bachelors,2,"Python, SQL, ETL",171000.0,Data Engineer
American Express,NY,Company Website,Full-time,Any Degree,10,"SQL, Cloud, Analytics",166000.0,Data Engineer
NavitsPartners,MA,Company Website,Full-time,Any Degree,5,"Tableau, Snowflake, Cloud, ETL, data warehouse",166000.0,Data Engineer
Amazon Web Services (AWS),VA,LinkedIn,Full-time,Bachelors,5,,212800.0,Data Engineer
Inworld AI,CA,Company Website,Full-time,Any Degree,3,"Python, SQL, Big Data, Spark, Java",166000.0,Data Engineer
Cirrus Aircraft,MN,Company Website,Full-time,Any Degree,3,,166000.0,Data Engineer
Candidate Portal,CT,ZipRecruiter,Full-time,Any Degree,4,"Oracle, Snowflake, AWS, Java, Cloud",166000.0,Data Engineer
General Dynamics Information Technology,VA,Company Website,Full-time,Bachelors,5.0,"Python, Tableau, Excel, Visualization",149500.0,Data Engineer
Booz Allen,VA,Company Website,Full-time,Any Degree,5.0,"Python, Cloud",166000.0,Data Engineer
Idaho State Job Bank,ID,Company Website,Part-time,Any Degree,5.0,,6240.0,Data Engineer
Dell Technologies,USA,Company Website,Full-time,Bachelors,5,"SQL, Tableau, Excel",166000.0,Data Engineer
Lantern,TX,LinkedIn,Full-time,Any Degree,10,"SQL, Azure, Analytics, Business Intelligence, Power BI",6240.0,Business Intelligence Analyst
NiSource,OH,Company Website,Full-time,Any Degree,6,"Python, SQL, Spark, AWS, Azure, Cloud",160500.0,Data Engineer
Merck & Co.,TX,Company Website,Full-time,Any Degree,5.0,SQL,166000.0,Data Engineer
Total Wine & More,PA,Company Website,Full-time,Bachelors,5.0,"SQL, Cloud, Analytics",166000.0,Data Engineer
American Commercial Barge Line (ACBL),IN,Company Website,Full-time,Bachelors,8,,166000.0,Data Engineer
Australia and New Zealand Banking Group Limited,PA,Company Website,Full-time,Any Degree,5.0,"Big Data, Spark, Java, Cloud, ETL",166000.0,Data Engineer
General Dynamics Information Technology,VA,Company Website,Full-time,Bachelors,5.0,"Python, SQL, Big Data, Spark, Java, Cloud, ETL",149500.0,Data Engineer
General Motors,SC,Company Website,Internship,Bachelors,0,"Python, SQL, Java, Analytics",64800.0,Data Engineer
University System of NH,NH,Company Website,Full-time,Masters,5,"Tableau, Business Intelligence, data warehouse, Data Visualization, Visualization",166000.0,Data Engineer
General Dynamics Information Technology,VA,Company Website,Full-time,Bachelors,5.0,"Python, Tableau, Excel, Visualization",195500.0,Data Engineer
General Dynamics Information Technology,VA,Company Website,Full-time,Bachelors,5.0,"Python, Tableau, Excel, Visualization",149500.0,Data Engineer
TEKsystems,FL,Company Website,Full-time,Bachelors,5.0,,140400.0,Data Scientist
Capital One,NY,Company Website,Part-time,PHD,5,"Data Analytics, Analytics",4160.0,Data Scientist
Boston Consulting Group,DC,Company Website,Full-time,Any Degree,5.0,Analytics,225000.0,Data Scientist
Capital One,NY,Company Website,Part-time,PHD,5,"Data Analytics, Analytics",4160.0,Data Scientist
Google,WA,LinkedIn,Full-time,PHD,8,"Python, SQL, Analytics",266000.0,Data Scientist
Amentum,AL,Company Website,Full-time,Any Degree,10,"Python, Hive, Tableau, Spark, AWS, Azure, Cloud, Power BI, Data Visualization, Visualization",195000.0,Data Scientist
Amentum,AL,Company Website,Full-time,Any Degree,10,"Python, Hive, Tableau, Spark, AWS, Azure, Cloud, Power BI, Data Visualization, Visualization",195000.0,Data Scientist
The Cigna Group,CA,Company Website,Full-time,Any Degree,2,"Python, SQL, Cloud, Data Analytics, Analytics",138300.0,Data Scientist
Walmart,NJ,Company Website,Part-time,PHD,3,"Python, Spark, Java, Analytics",264000.0,Data Scientist
Deloitte,VA,LinkedIn,Full-time,Bachelors,2,"Data Analytics, Analytics",195000.0,Data Scientist
Brown-Forman,KY,Company Website,Full-time,Any Degree,2,"SQL, Tableau, Data Visualization, Visualization",195000.0,Data Scientist
Paramount,NY,Company Website,Full-time,PHD,2,"Python, SQL, Snowflake, Redshift, AWS, Cloud, Data Analytics, Analytics, Excel",93000.0,Data Scientist
Rocket Careers,MI,Company Website,Full-time,Any Degree,3,"Python, AWS, Azure, Java, Analytics, Data Visualization, Visualization",2080.0,Data Scientist
Abbott Laboratories,CA,Company Website,Full-time,Any Degree,8,"Python, SQL, Big Data, Spark, Cloud, Analytics",218500.0,Data Scientist
Walmart,CA,Company Website,Internship,PHD,2,"Python, Spark, Analytics",234000.0,Data Engineer
Snowflake,CA,Company Website,Full-time,Any Degree,5.0,Snowflake,218500.0,Data Scientist
Wisetack,CA,Company Website,Full-time,Any Degree,2,"Python, Tableau",140000.0,Data Scientist
Google,WA,LinkedIn,Full-time,PHD,1,"Python, SQL, Analytics",187000.0,Data Scientist
Randstad USA,CA,Company Website,Part-time,Any Degree,5,,195000.0,Data Scientist
EVERSOURCE,CT,Company Website,Full-time,Any Degree,5,"Python, SQL, Spark, Azure, Cloud, Analytics",130000.0,Data Scientist
Cedars-Sinai,CA,Company Website,Full-time,Bachelors,2,,160160.0,Data Scientist
Capital One,CA,Company Website,Part-time,PHD,2,"Cloud, Data Analytics, Analytics",4160.0,Data Scientist
Walmart,CA,Company Website,Part-time,PHD,3,"Python, SQL, Big Data, Spark, Java, Data Analytics, Analytics",286000.0,Data Scientist
Brillient,MD,ZipRecruiter,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Gap Inc.,CA,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Spark, Azure, Cloud, Analytics",195000.0,Data Scientist
F&G,USA,LinkedIn,Full-time,PHD,8,"Python, Hive, SQL, Oracle, Tableau, Snowflake, Big Data, Spark, Azure, Analytics, Power BI, Data Visualization, Visualization",195000.0,Data Scientist
Tanium,NC,Company Website,Full-time,Any Degree,8,,385000.0,Data Scientist
SynergisticIT,CA,ZipRecruiter,Part-time,Masters,5.0,Python,26000.0,Data Scientist
Swyfft,USA,LinkedIn,Full-time,Any Degree,3,"SQL, Tableau, Data Visualization, Visualization",41600.0,Data Scientist
Walmart,AR,Company Website,Part-time,PHD,5,"Python, Spark, Analytics",220000.0,Data Scientist
webuyanycar.com USA,PA,Glassdoor,Full-time,Any Degree,3,"Python, SQL, Tableau, Big Data, Spark, AWS, Azure, Cloud, Analytics, Power BI, Data Visualization, Visualization",195000.0,Data Scientist
Novo Nordisk,NJ,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
TikTok,CA,LinkedIn,Full-time,Bachelors,2,"Python, SQL",195000.0,Data Scientist
The Cigna Group,OR,Company Website,Full-time,Any Degree,5,"Azure, Cloud, ETL",202400.0,Data Engineer
General Motors,MI,Company Website,Full-time,Any Degree,3,"Python, Cloud",2080.0,Data Scientist
Coca-Cola Beverages Florida,FL,Company Website,Full-time,Bachelors,2,"Python, SQL, Tableau, Power BI, Excel, Data Visualization, Visualization",22880.0,Data Scientist
Google,WA,LinkedIn,Full-time,Masters,5,"Python, SQL",178000.0,Data Scientist
U.S. Department of Health and Human Services,DC,Company Website,Full-time,Masters,5.0,,195000.0,Data Scientist
Tractor Supply Company,TN,LinkedIn,Full-time,Bachelors,5,,195000.0,Data Scientist
Walmart,AR,Company Website,Part-time,PHD,4,"Python, Spark, Analytics",286000.0,Data Scientist
Amazon Web Services (AWS),NY,LinkedIn,Full-time,Any Degree,3,"Python, SQL",212800.0,Data Scientist
MillenniumSoft Inc,NJ,LinkedIn,Part-time,Any Degree,3,"SQL, AWS, Cloud, Analytics",195000.0,Data Scientist
eBay,CA,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Arootah,NY,LinkedIn,Full-time,Bachelors,6,"Python, SQL, Big Data, Spark, Cloud, Data Visualization, Visualization",195000.0,Data Scientist
Walmart,NY,ZipRecruiter,Part-time,PHD,3,"Python, Spark, Java, Analytics",264000.0,Data Scientist
TikTok,NY,LinkedIn,Full-time,Any Degree,5.0,"Tableau, Data Visualization, Visualization",195000.0,Data Scientist
Merck,NJ,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Napster,TN,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
SynergisticIT,MS,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Engineer
KPMG,CA,Company Website,Full-time,Any Degree,5.0,Analytics,60000.0,Data Scientist
BNY Mellon,PA,Company Website,Full-time,Bachelors,5.0,,195000.0,Data Scientist
Infosys,AZ,Company Website,Full-time,Any Degree,4,Python,195000.0,Data Scientist
Circle,FL,Company Website,Full-time,Any Degree,5,"Python, SQL",195000.0,Data Scientist
Western Digital,CA,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
EY,NY,Company Website,Full-time,Masters,2,"Python, SQL, Big Data, AWS, Analytics",163238.0,Data Scientist
Kyla,USA,Glassdoor,Full-time,Any Degree,5.0,"Python, Java",208000.0,Data Scientist
Accenture,CA,Company Website,Full-time,Any Degree,1,"Python, Hive, Big Data, Spark, AWS, Azure, Cloud",195000.0,Data Scientist
Google,NY,LinkedIn,Full-time,PHD,5,"Python, SQL, Analytics",223000.0,Data Scientist
US Office of the Director of National Intelligence,VA,Company Website,Full-time,Bachelors,2,"Python, SQL, Tableau, Cloud, Analytics, Visualization",195000.0,Data Scientist
Red Bull North America,CA,Company Website,Full-time,Any Degree,5.0,Analytics,195000.0,Data Scientist
Proclinical,NC,Company Website,Full-time,PHD,8,Cloud,280000.0,Data Scientist
Urbanfootprint,CA,Company Website,Full-time,Masters,5.0,"Python, SQL, Visualization",195000.0,Data Scientist
Chubb,PA,Company Website,Full-time,PHD,10,"Python, Cloud",168000.0,Data Scientist
Western Digital,CA,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Cisco,MS,Company Website,Internship,Masters,0,"Python, SQL, ETL, Excel",195000.0,Data Scientist
Google,WA,LinkedIn,Full-time,Masters,10,"Python, SQL, Analytics",252000.0,Data Scientist
SynergisticIT,FL,ZipRecruiter,Full-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",195000.0,Data Scientist
Ankura,NY,Company Website,Full-time,Any Degree,5.0,Analytics,200000.0,Data Scientist
Norstella,KS,Company Website,Full-time,Any Degree,3,"Python, AWS, Java",120000.0,Data Scientist
Lockheed Martin Corporation,TX,Company Website,Full-time,Any Degree,4,Analytics,195000.0,Data Scientist
Camping World,IL,Company Website,Full-time,Any Degree,3,"Python, SQL, Excel",134295.0,Data Engineer
Procter & Gamble,OH,Company Website,Full-time,Masters,5.0,"Python, SQL, Tableau",195000.0,Data Scientist
Google,DC,LinkedIn,Full-time,Masters,4,"Python, SQL, Analytics",223000.0,Data Scientist
SynergisticIT,CO,ZipRecruiter,Part-time,Masters,5.0,Python,26000.0,Data Scientist
Berkeley Research Group,MA,Company Website,Full-time,Masters,2,"Python, SQL",72800.0,Data Analyst
Google,GA,Glassdoor,Full-time,PHD,5,"Python, SQL, Analytics",223000.0,Data Scientist
Northern Trust,IL,ZipRecruiter,Full-time,Masters,10,"Python, SQL, Oracle, Cloud",195000.0,Data Scientist
Spotify,TX,Company Website,Full-time,Any Degree,5,"Python, SQL, Tableau",195000.0,Data Scientist
Ankura,MN,Company Website,Full-time,Any Degree,5.0,Analytics,200000.0,Data Scientist
Walmart Inc.,USA,Company Website,Full-time,PHD,2,"Python, Spark, Analytics",234000.0,Data Engineer
Google,NY,Indeed,Full-time,Masters,8,"Python, SQL, Analytics",195000.0,Data Scientist
[DO NOT USE FOR REFERRALS] ZipRecruiter,CA,Company Website,Full-time,Any Degree,3,,145000.0,Data Scientist
Ankura,KY,Company Website,Full-time,Any Degree,5.0,Analytics,200000.0,Data Scientist
Colgate-Palmolive Company,KS,Company Website,Full-time,PHD,3,"Data Analytics, Analytics",195000.0,Data Scientist
Google,CA,Company Website,Full-time,PHD,5,"Python, SQL, Analytics",223000.0,Data Scientist
Verily Life Sciences,MA,Company Website,Full-time,Any Degree,5.0,Python,195000.0,Data Scientist
CBRE,FL,Company Website,Full-time,Any Degree,7,"Data Analytics, Analytics",195000.0,Data Scientist
Google,IL,LinkedIn,Full-time,Masters,4,"Python, SQL, Analytics",223000.0,Data Scientist
Dollar General Corporation,TN,Company Website,Full-time,Bachelors,5,"Python, SQL, Snowflake, Analytics",195000.0,Data Scientist
Lawrence Livermore National Laboratory,CA,Company Website,Full-time,Any Degree,5.0,"Python, Big Data, Java",195000.0,Data Scientist
"General Mills, Inc.",MN,Company Website,Full-time,Bachelors,3,"Python, SQL, Data Visualization, Visualization",195000.0,Data Scientist
Walmart,CA,ZipRecruiter,Part-time,PHD,5,"Python, Big Data, Spark, Analytics",195000.0,Data Scientist
Spotify,NY,Company Website,Full-time,Any Degree,5.0,"Python, Analytics",195000.0,Data Scientist
Google,NY,LinkedIn,Full-time,Bachelors,7,"Python, SQL",252000.0,Data Scientist
Swish Analytics,CA,Company Website,Full-time,Any Degree,2,"SQL, AWS",195000.0,Data Scientist
"Motorola Solutions, Inc.",IL,Company Website,Full-time,Masters,3,,195000.0,Data Scientist
TikTok,CA,LinkedIn,Full-time,Any Degree,5.0,Python,195000.0,Data Scientist
EXL Service,NJ,Company Website,Full-time,Any Degree,5,"Python, Tableau, Data Visualization, Visualization",195000.0,Data Scientist
SynergisticIT,MA,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Scientist
Royal Bank of Canada,NJ,Company Website,Full-time,Any Degree,5.0,,195000.0,Data Scientist
SynergisticIT,TN,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Engineer
Cardinal Health,OH,Company Website,Full-time,Any Degree,4,"Tableau, Excel",195000.0,Data Scientist
eClinical Solutions,MA,LinkedIn,Full-time,Any Degree,5.0,,195000.0,Data Scientist
The Walt Disney Company,CT,Company Website,Full-time,Any Degree,5,"SQL, Analytics",195000.0,Data Scientist
TikTok,WA,LinkedIn,Full-time,Any Degree,5.0,SQL,195000.0,Data Scientist
"Amazon.com, Inc.",VA,Company Website,Full-time,Bachelors,3,"Python, SQL, Analytics",195000.0,Data Scientist
HP,WA,LinkedIn,Full-time,Masters,8,"Python, Azure, Cloud",181800.0,Data Scientist
Amazon Web Services,MA,Company Website,Full-time,Bachelors,1,"Python, SQL, Cloud",195000.0,Data Scientist
Diverse Lynx,TX,LinkedIn,Full-time,Any Degree,5.0,"Python, SQL",195000.0,Data Scientist
Labcorp,NC,Company Website,Full-time,Any Degree,5.0,"SQL, Tableau, ETL",195000.0,Data Scientist
Healthcare Staffing Professionals Inc.,CA,LinkedIn,Part-time,Masters,5.0,Analytics,137280.0,Data Scientist
Fidelity Investments Inc.,DC,Company Website,Full-time,Masters,10,"Python, SQL",195000.0,Data Scientist
KPMG US,TX,LinkedIn,Full-time,Any Degree,5.0,Analytics,150000.0,Data Scientist
Evolent Health,VA,Company Website,Full-time,PHD,2,"Python, Spark, AWS, Azure, Java, Cloud, Data Visualization, Visualization",195000.0,Data Scientist
TikTok,CA,LinkedIn,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Koddi,TX,Company Website,Full-time,PHD,5.0,"Python, Spark, Analytics",195000.0,Data Scientist
TikTok,WA,LinkedIn,Full-time,Any Degree,3,"Python, Hive, SQL",195000.0,Data Scientist
Takeda Pharmaceutical Company,MA,Company Website,Full-time,Masters,8,"Python, Data Visualization, Visualization",195000.0,Data Scientist
DataLab USA,MD,LinkedIn,Full-time,PHD,5,"Python, Tableau, Analytics, Data Visualization, Visualization",195000.0,Data Scientist
CVS Health Corporation,MA,Company Website,Full-time,Any Degree,2,"Python, Cloud, Analytics",195000.0,Data Scientist
TikTok,WA,LinkedIn,Full-time,Bachelors,5.0,Analytics,195000.0,Data Scientist
UPS,GA,Company Website,Full-time,Any Degree,3,"Python, SQL, Big Data, Spark, Cloud",195000.0,Data Scientist
Sysco,TX,Company Website,Full-time,PHD,2,"Python, SQL, Java, Analytics",195000.0,Data Scientist
TikTok,WA,LinkedIn,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Mercedes-Benz AG,GA,Company Website,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Analytics, Power BI, Excel, Data Visualization, Visualization",195000.0,Data Scientist
City Storage Systems,CA,LinkedIn,Full-time,Any Degree,5.0,"Python, Java",26000.0,Data Scientist
Merck & Co.,MA,Company Website,Full-time,Masters,6,"Python, SQL, AWS, Cloud, Analytics, Data Visualization, Visualization",195000.0,Data Scientist
Corteva Agriscience,IN,LinkedIn,Full-time,PHD,3,"Python, Cloud, Analytics",137710.0,Data Scientist
Redhorse Corporation,FL,Company Website,Full-time,Any Degree,4,"Python, Tableau, Excel, Visualization",195000.0,Data Scientist
HP,TX,LinkedIn,Full-time,PHD,10,"Python, SQL, Analytics, Data Visualization, Visualization",181800.0,Data Scientist
FLYR Labs,CA,Company Website,Full-time,Masters,2,Python,195000.0,Data Scientist
ClearanceJobs,AL,LinkedIn,Part-time,Masters,2,"Python, SQL, Tableau, Analytics, Power BI, Data Visualization, Visualization",8320.0,Data Scientist
LinQuest,CO,Company Website,Full-time,Any Degree,3,Python,195000.0,Data Scientist
Amazon Web Services (AWS),NY,LinkedIn,Full-time,Any Degree,3,"Python, SQL",212800.0,Data Scientist
Gap Inc.,CA,Company Website,Full-time,Any Degree,1,"Python, SQL, Excel",195000.0,Data Scientist
SynergisticIT,NV,LinkedIn,Part-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",100000.0,Data Analyst
Guidehouse Inc.,DC,Company Website,Full-time,Any Degree,5.0,"Python, Tableau, Data Analytics, Analytics, Power BI",195000.0,Data Scientist
USAJOBS,DC,LinkedIn,Full-time,Any Degree,5,"Python, Data Analytics, Analytics",2080.0,Data Scientist
Amazon Web Services (AWS),CA,LinkedIn,Full-time,Any Degree,5,"Python, SQL",247600.0,Data Scientist
TikTok,CA,LinkedIn,Full-time,Masters,5.0,SQL,208000.0,Data Scientist
"Liberty Personnel Services, Inc.",PA,LinkedIn,Full-time,Any Degree,5.0,"SQL, Data Visualization, Visualization",195000.0,Data Scientist
Executive Staff Recruiters / ESR Healthcare,MA,LinkedIn,Full-time,Any Degree,2,"Snowflake, AWS, Data Analytics, Analytics",195000.0,Data Scientist
Amazon Web Services (AWS),NY,LinkedIn,Full-time,Any Degree,5,"Python, SQL",247600.0,Data Scientist
Pinterest,USA,LinkedIn,Internship,PHD,0,"Python, SQL",11000.0,Data Scientist
Amazon Web Services (AWS),DC,LinkedIn,Full-time,Any Degree,5,"Python, SQL",247600.0,Data Scientist
ClearanceJobs,VA,LinkedIn,Full-time,Any Degree,7,,195000.0,Data Scientist
U.S. Air Force Reserve,SC,LinkedIn,Full-time,Bachelors,5.0,,10000.0,Data Analyst
Volunteers of America Los Angeles,CA,LinkedIn,Full-time,Any Degree,2,,100000.0,Data Analyst
Amazon Web Services (AWS),GA,LinkedIn,Full-time,Any Degree,5,"Python, SQL",247600.0,Data Scientist
ClearanceJobs,NM,LinkedIn,Full-time,Any Degree,5.0,"Python, SQL, AWS, Cloud",195000.0,Data Scientist
Walmart,WA,LinkedIn,Full-time,PHD,6,"Python, Hive, SQL, Spark, GCP, Azure, Java, Cloud, Analytics",216000.0,Data Scientist
DataAnnotation,CA,LinkedIn,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Data Visualization, Visualization",100000.0,Data Analyst
ClearanceJobs,VA,LinkedIn,Part-time,Any Degree,5.0,,195000.0,Data Scientist
Amazon Web Services (AWS),CA,LinkedIn,Full-time,Masters,8,"Python, SQL",247600.0,Data Scientist
ClearanceJobs,MD,LinkedIn,Full-time,Bachelors,10,Python,208000.0,Data Scientist
Amazon Web Services (AWS),TX,LinkedIn,Full-time,Masters,8,"Python, SQL",247600.0,Data Scientist
Google,CA,LinkedIn,Full-time,PHD,8,"Python, SQL, Analytics",266000.0,Data Scientist
ClearanceJobs,VA,LinkedIn,Full-time,Any Degree,5.0,"Python, SQL, AWS, Cloud",195000.0,Data Scientist
ClearanceJobs,FL,LinkedIn,Full-time,Masters,12,,195000.0,Data Scientist
ClearanceJobs,VA,LinkedIn,Full-time,Any Degree,5.0,,195000.0,Data Scientist
Lawrence Livermore National Laboratory,CA,LinkedIn,Full-time,Any Degree,5.0,,160188.0,Business Analyst
Accenture,NJ,LinkedIn,Full-time,Any Degree,3,"SQL, Excel",91520.0,Business Analyst
TD Bank Group,NC,Company Website,Full-time,Any Degree,3,,93600.0,Business Analyst
Accenture,NJ,LinkedIn,Full-time,Any Degree,3,"SQL, Excel",91520.0,Business Analyst
"ECS Federal, LLC",VA,Glassdoor,Full-time,Any Degree,5,Azure,91520.0,Business Analyst
firstPRO,PA,Company Website,Full-time,Any Degree,12,,91520.0,Business Analyst
Lilly,IN,Company Website,Full-time,Bachelors,3,,91520.0,Business Analyst
firstPRO,PA,Company Website,Full-time,Any Degree,12,,91520.0,Business Analyst
Deloitte,OH,Company Website,Full-time,Bachelors,5.0,,85000.0,Business Analyst
Info Way Solutions,CA,LinkedIn,Full-time,Masters,5,"Python, SQL",91520.0,Business Analyst
"Collins Consulting, Inc.",OR,ZipRecruiter,Full-time,Any Degree,5,,91520.0,Business Analyst
Autodesk,OR,Company Website,Full-time,Any Degree,5,"Data Visualization, Visualization",100000.0,Data Analyst
Amazon.com Services LLC,WA,Glassdoor,Full-time,Any Degree,3,"SQL, Tableau, Excel, Data Visualization, Visualization",91520.0,Business Analyst
