Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
SoundCloud,NY,ZipRecruiter,Full-time,Any Degree,5,"SQL, Tableau, GCP, Cloud, Analytics, Business Intelligence, Data Visualization, Visualization",135000.0,Data Analyst
Capital One,NY,Company Website,Part-time,PHD,5,"Data Analytics, Analytics",4160.0,Data Scientist
Via,NY,Company Website,Full-time,Any Degree,3,Python,75000.0,Data Analyst
Etsy,NY,Company Website,Full-time,Any Degree,3,"Python, Data Visualization, Visualization",100000.0,Data Analyst
codesbright,NY,Company Website,Part-time,Bachelors,2,Python,100000.0,Data Analyst
"Contact Government Services, LLC",NY,Glassdoor,Full-time,Any Degree,5.0,Analytics,100000.0,Data Analyst
New York Neighborhood Coalition for Shelter,NY,Indeed,Full-time,Any Degree,28,,100000.0,Data Analyst
Accenture,NY,Company Website,Full-time,Bachelors,5.0,"Analytics, Excel",100000.0,Data Analyst
VirtualVocations,NY,Company Website,Full-time,Any Degree,5.0,,100000.0,Data Analyst
Patreon,NY,Company Website,Full-time,Any Degree,5,"Python, SQL, Data Analytics, Analytics",100000.0,Data Analyst
Matal,NY,Company Website,Part-time,Any Degree,5.0,,100000.0,Data Analyst
Imagen Technologies,NY,Indeed,Full-time,Any Degree,4,"Python, SQL, Tableau, Business Intelligence",100000.0,Data Analyst
Oak View Group,NY,Company Website,Full-time,Bachelors,8,"Python, SQL, Azure, Data Analytics, Analytics",140000.0,Data Analyst
IPRO,NY,Company Website,Full-time,Any Degree,3,,100000.0,Data Analyst
Fragomen,NY,Indeed,Full-time,Any Degree,5.0,Excel,100000.0,Data Analyst
New York Presbyterian Hospital,NY,Company Website,Full-time,Any Degree,3,,100000.0,Data Analyst
Trepp,NY,Glassdoor,Full-time,Masters,2,"Python, Cloud",195000.0,Data Scientist
SynergisticIT,NY,LinkedIn,Full-time,Masters,5.0,"Python, Java, Data Visualization, Visualization",208000.0,Data Analyst
Hearst,NY,Company Website,Full-time,Any Degree,5,"SQL, Tableau, Redshift, Analytics, Business Intelligence",100000.0,Data Analyst
Net2Source Inc.,NY,Company Website,Part-time,Any Degree,5.0,"AWS, Data Visualization, Visualization",100000.0,Data Analyst
NYC Health + Hospitals,NY,Company Website,Full-time,Masters,4,"Python, SQL, Analytics, Excel",91520.0,Business Analyst
Sun River Health,NY,Indeed,Full-time,Bachelors,5.0,,100000.0,Data Analyst
Skylight,NY,LinkedIn,Full-time,Any Degree,3,"SQL, Snowflake, data warehouse",12480.0,Data Analyst
"Bonafide Health, LLC",NY,Company Website,Full-time,Any Degree,5.0,Analytics,119300.0,Data Analyst
